calc_key,discipline,group,title_en,title_zh,stage_due,inputs,method_standard,outputs,acceptance,na_condition,deliverable_ref
HYD-CW-07,HYD,Cold water,Cold-water pumping energy,冷水提升能耗,S6,pump duties; hours; efficiencies,kWh = flow × head × hours / efficiency,annual kWh; kWh/kL,reported; input to THM-WAT-01 / ELEC-ENE-01,gravity supply,C-15
HYD-HW-01,HYD,Hot water,"DHW daily energy, peak hour, heating-priority window and simultaneous flow",生活热水日耗能、高峰小时与同时流量,S3,occupancy; per-key demand; temperatures; profile shares; loop losses,energy ledger from demand profile; equivalent-volume reference; fixture coincidence for flow,daily kWh; peak-hour kWh; peak flow L/s; profile table,profile and occupancy stated; loop losses included,no DHW (state),C-01
HYD-HW-02,HYD,Hot water,"DHW usable storage, recovery and chronological energy balance",热水有效储热、回热与逐时能量平衡,S3,daily profile; storage temperatures; plant capacity; recovery availability (MECH-PLT-03),hour-by-hour balance; usable storage fraction; peak verification condition,storage volume; plant kW; balance table,no negative balance in the stress case; storage counted once,instantaneous only (state),C-02
HYD-HW-03,HYD,Hot water,Heat source selection: heat pump / heat recovery / immersion backup and annual source energy,热水热源选型：热泵 / 余热 / 电加热备用与年度能量,S5,energy ledger; vendor capacities at conditions; backup policy,vendor data at project conditions; backup covers peak without recovery; annual ledger,heat-source schedule; annual kWh by source; backup duty,backup + storage cover the stress case; annual ledger closes,—,C-03 / C-04 / C-05
HYD-HW-04,HYD,Hot water,"Return loop balancing, return pumps, temperatures at furthest point and TMV / zoning",回水平衡、回水泵、末端温度与混水阀 / 分区,S6,loop lengths; insulation losses; storage temperature; TMV zones,heat loss per loop; return flow for ΔT ≤ 5 K; TMV coverage; AS/NZS 3500.4 temperatures,return pump schedule; balancing schedule; TMV schedule,≥ 60 °C storage; delivery ≤ 45 / 50 °C at fixtures per use; loop ΔT ≤ 5 K,instantaneous point-of-use only,C-52; H-601
HYD-HW-05,HYD,Hot water,Legionella control routine and thermal disinfection regime,军团菌控制制度与热消毒,S6,system layout; dead legs; storage; tower interface,AS/NZS 3666 series regime; dead-leg limits; flushing schedule,risk management plan inputs; control routine; BMS points,regime documented; dead legs within limits,—,C-52; P-LOGIC
HYD-HW-06,HYD,Hot water,Heated-water pipe insulation and heat loss,热水管保温与热损失,S6,pipe sizes; lengths; ambient; NCC J8 requirements,NCC J8 (heated water services) insulation; loss W/m,insulation schedule; loop loss kW to HYD-HW-01,every heated pipe insulated per NCC; losses consistent with the energy ledger,—,P-PIPES
HYD-SAN-01,HYD,Sanitary,Sanitary drainage stacks and branches by fixture units,污废水立管与支管（按当量）,S3,fixture schedule per level; stack routes; offsets,AS/NZS 3500.2 fixture units and stack sizing tables (digest records),"stack schedule: DN per stack, FU load, room allocation",every stack within table capacity; offsets and diversions checked,—,H-110; C-11
HYD-SAN-02,HYD,Sanitary,"Venting: stack vents, relief / cross vents, AAVs, offsets",通气：立管通气、平衡通气、AAV、偏置,S6,stack heights; branch lengths; fixture positions,AS/NZS 3500.2 venting rules,vent schedule; vent sizes,every stack and branch vented per rules,—,H-110
HYD-SAN-03,HYD,Sanitary,Sewer connection capacity and authority conditions,污水接驳容量与主管部门条件,S0,peak sewage flow; authority connection point; trade waste,authority requirements; connection capacity vs peak,connection basis; conditions list,authority data on file; capacity ≥ peak,—,site data pack; C-11
HYD-SAN-04,HYD,Sanitary,"Sump pumps / lift stations: inflow, storage, duty / standby, alarms",集水井 / 提升泵：流入量、储存、双泵与报警,S6,basement fixtures; seepage; stormwater ingress; discharge head,inflow estimate; storage for pump cycle; duty / standby; AS/NZS 3500.2 pumped drainage,sump schedule; pump duties; alarm points,standby pump; storage ≥ one cycle; high-level alarm to BMS,no below-sewer drainage,C-50; P-PUMPS
HYD-SAN-05,HYD,Sanitary,"Trade waste: grease arrestor sizing by covers, cooling pits, authority acceptance",餐饮排污：隔油池按餐位、冷却池、主管部门认可,S6,kitchen covers; discharge fixtures; authority sizing rules,authority trade-waste sizing method (e.g. Sydney Water by covers),arrestor size; location and access; pump-out,size per authority method; access for pump-out,no commercial kitchen,C-51
HYD-SW-01,HYD,Stormwater,"Roof drainage: catchment, IFD rainfall, gutters, downpipes, box gutters, sumps and independent overflows",屋面排水：汇水、IFD 降雨、天沟、落水管、箱形天沟、溢流,S3,roof plan; IFD (S0 data pack); gutter profiles,AS/NZS 3500.3 design storm (ARI per element); box gutter overflow independent of primary,roof drainage schedule; overflow sizing,every roof area drained with overflow; independent overflow for towers (HYD-SW-03),—,C-10; H-100 roof
HYD-SW-02,HYD,Stormwater,"Site stormwater, OSD and rainwater reuse tank sizing",场地雨水、OSD 蓄洪与雨水回用水箱,S3,site catchment; council OSD rules; reuse demand; SSDA commitments,council method / MUSIC / DRAINS; reuse yield vs demand,OSD volume; reuse tank size; yield table,OSD per council; reuse tank matches commitment and yield,no site works (state),C-50; CIV-OSD-01
HYD-SW-03,HYD,Stormwater,Independent overflow / secondary stormwater stack for towers and podiums,塔楼 / 裙楼独立溢流立管,S6,roof drainage; stack routes,AS/NZS 3500.3 overflow provisions; separate discharge,overflow stack schedule,overflow independent of primary and discharging safely,low-rise with eaves gutters,C-10
HYD-GAS-01,HYD,Gas,"Gas load, pipe sizing, meter and regulators",燃气负荷、管径、燃气表与调压,S6,appliance MJ/h; lengths; pressure tiers,AS/NZS 5601.1 sizing tables; pressure drop limits,gas schedule; pipe sizes; meter and regulator,every appliance served within allowable drop,all-electric building,H-100 gas
HYD-POOL-01,HYD,Pool,"Pool and spa plant: turnover, filtration, heating, chemical dosing, balance tank",泳池 / 水疗设备：循环周期、过滤、加热、加药、平衡水箱,S6,pool volumes; bather loads; water temperatures; health regulations,turnover rate per state health guidelines; filter flow; heater duty; balance tank volume,pool plant schedule; heating duty to MECH / HYD-HW,turnover and filtration within guideline; heater duty on equipment schedule,no pool,E-609 / pool plant sheets
HYD-IRR-01,HYD,Irrigation,Irrigation demand and supply (rainwater / potable),灌溉需水量与供水,S6,landscape areas; plant types; climate,area × application rate; source priority,irrigation demand; source; controller,demand met by reuse or potable with backflow protection,no landscape irrigation,C-49; C-50
HYD-FIX-01,HYD,Fixtures,Sanitary fixture numbers vs occupancy,卫生洁具数量与人数,S2,occupancy per area; building class,NCC F4 (sanitary facilities) tables via digest,fixture count table per level,every area meets minimum counts; accessible fixtures per ARC-DDA-01,—,ID compliance report
HYD-MAT-01,HYD,Materials,"Pipe materials, supports and maximum spacing, expansion and anchors",管材、支架与最大间距、膨胀与固定,S6,system temperatures and pressures; pipe sizes; material library,material selection table (P-MAT); support spacing per material / size (AS/NZS 3500 / manufacturer); expansion loops,P-MAT; support schedule; anchor loads to STR,"every system has a material, support type and spacing; anchor loads issued",—,P-MAT; STR-LOAD-06
HYD-WEIGHT-01,HYD,Loads,Water-filled tank and equipment weights and floor loads to structure,满水设备 / 水箱重量与楼板荷载（交结构）,S5,tank volumes; equipment operating weights; footprints,operating weight = dry + water; pressure over footprint,P-LOADS schedule to STR,every tank and plant item on P-LOADS with position,—,P-LOADS
FIRE-STR-01,FIRE,Strategy,"Fire strategy basis: class, type of construction, rise in storeys, effective height, compartment sizes, FRLs",消防策略基础：类别、构造类型、层数、有效高度、分区面积、FRL,S1,brief; massing; areas per level; sprinkler decision,"NCC Section C (compartmentation, FRLs) via digest records; DtS vs PS list",fire strategy memo; F-100 strategy plans; DtS / PS table,every compartment and element has an FRL; departures listed,—,F-100; fire strategy memo
FIRE-EGR-01,FIRE,Egress,"Occupant numbers, exit count and widths, travel distances, stair widths, discharge",人数、出口数量与宽度、疏散距离、楼梯宽度、出口疏散,S1,areas per use; occupancy factors; layout; stair geometry,NCC Section D (via digest); occupant numbers per use; width per occupant; travel distance limits,egress calc package per level,every storey within travel distance and width limits; provisional until layout freeze (S3),—,F-100; egress calc package
FIRE-SPR-01,FIRE,Sprinklers,"Sprinkler hazard class, design density, AMAO, head spacing and coverage",喷淋危险等级、设计密度、作用面积、喷头间距与覆盖,S3,occupancy per area; storage; ceiling heights; obstructions,AS 2118.1 hazard classification and design criteria (digest records),sprinkler design criteria table per area; head counts,every area classified; density and AMAO stated,building not sprinklered (state basis),F-100 sprinkler; F-600
FIRE-SPR-02,FIRE,Sprinklers,"Sprinkler hydraulic calculation at most disadvantaged and most favourable areas, pressure zones",喷淋水力计算（最不利与最有利区）、压力分区,S6,pipe network; heads; pump / tank; pressure zones,Hazen-Williams network calc per AS 2118.1; supply curve vs demand,hydraulic calc report; pump duty input; max / min pressures,demand within supply with margin; max pressure below component rating,building not sprinklered,F-600; F-100; calc report
FIRE-HYD-01,FIRE,Hydrants,"Hydrant flows and pressures per level, booster, feed arrangement",消火栓各层流量压力、水泵接合器、供水,S3,building height; hydrant count; brigade requirements,AS 2419.1 flows / pressures (digest); booster and feed arrangement,hydrant schedule per level; booster schedule,every level within pressure window; booster located per brigade,building below hydrant threshold (state clause),F-600 wet fire; F-110
FIRE-HYD-02,FIRE,Hydrants,Hose reel coverage and hydraulics,消防卷盘覆盖与水力,S6,hose reel positions; coverage radius; supply,AS 2441 coverage; AS 2419.1 combined demand where applicable,hose reel schedule; coverage plan,coverage complete; supply adequate with hydrants,hose reels not required (state clause),F-110
FIRE-PMP-01,FIRE,Pumps,"Fire pump duty, suction, driver type, fuel, testing regime and TCO comparison",消防泵工况、吸水、驱动类型、燃油、测试制度与全寿命成本,S5,sprinkler and hydrant demands; tank level; driver options; testing rules,AS 2941 pumpset requirements; NPSH; diesel fuel autonomy; decision record on driver type,pump duty; driver decision; test regime; local supplier confirmation,duty covers max demand at max pressure zone; decision record closed,building without fire pumps (mains adequate — state authority letter),C-58; F-600
FIRE-TNK-01,FIRE,Tanks,"Fire water storage effective volume, refill and town-main reliability",消防水池有效容积、补水与市政供水可靠性,S3,demand duration; town main data; tank geometry,AS 2304 tank rules; effective capacity above suction; refill contribution,tank schedule; effective volume; refill,effective volume ≥ demand × duration less accepted refill,mains-fed system accepted by authority,F-600; M-603
FIRE-PEN-01,FIRE,Penetrations,Fire-stopping: every penetration mapped to a tested system and size,防火封堵：每个穿越对应测试系统与尺寸,S6,penetration schedule (STR-PEN-01); wall / floor types; service types,AS 4072.1 / AS 1530.4 tested systems from the details library,fire-stopping schedule; BQ rows per system,100 % of penetrations mapped; no untested combination,—,A-400 penetration plans; BQ
FIRE-DMP-01,FIRE,Dampers,"Fire and smoke damper schedule, ratings and access",防火阀与排烟阀表、等级与检修,S6,duct crossings of fire-rated elements; system types,AS 1682 dampers; access panel requirements,damper schedule with locations and tags,every duct crossing a rated element has a damper or a tested alternative,—,M-100; M-500
FIRE-DET-01,FIRE,Detection,"Detection zoning, detector type and spacing per space, interfaces",探测分区、探测器类型与间距、联动接口,S3,ceiling heights; space uses; airflow; zone plan,AS 1670.1 zoning and spacing rules (digest),detection zone plan; detector schedule; FIP loops,every space covered; zone sizes within limits,—,F-200; FIP single line
FIRE-EWIS-01,FIRE,EWIS,"EWIS / OWS zoning, speaker layout, sound pressure and intelligibility",EWIS 分区、扬声器布置、声压与可懂度,S6,zones; room acoustics; background noise,AS 1670.4 sound pressure and STI where required,EWIS layout; SPL per space; STI where applicable,SPL ≥ requirement in every space; STI where applicable,building not requiring EWIS (state clause),F-210
FIRE-EML-01,FIRE,Emergency lighting,Emergency lighting and exit signage (with ELEC-LGT-03),应急照明与出口标志,S6,egress routes; luminaire data,AS/NZS 2293.1,layout schedule,every route compliant,—,F-210
FIRE-CE-01,FIRE,Interlocks,"Cause and effect matrix: detection, EWIS, lifts, access control, BMS, smoke control, doors",联动矩阵：探测、EWIS、电梯、门禁、BMS、烟控、门,S6,all fire systems; interfaces; sequence,matrix per trigger and per output; consistent with MECH-CTL-02,cause & effect matrix; commissioning tests,every output has a trigger; tests in commissioning-tests.csv,—,F-200 series; commissioning-tests.csv
FIRE-PWR-01,FIRE,Power,"Fire pump, smoke control and lift power supplies, cable WS classification",消防泵、烟控与电梯电源，电缆 WS 分级,S6,essential loads; routes; fire compartments,AS/NZS 3013 cable classification; AS 2941 / AS/NZS 1668.1 supply rules,WS cable schedule; supply arrangement,every life-safety circuit has a compliant supply and cable class,—,E-604; ELEC-SLD-01
FIRE-PS-01,FIRE,Performance solutions,"Performance solutions: PBDB / FEB, executed analyses (ASET / RSET, CFD, FRL equivalence) with convergence and sensitivity",性能化设计：PBDB / FEB、实际运行分析（ASET / RSET、CFD、FRL 等效）含收敛与敏感性,S3,DtS departures; fire scenarios; geometry; occupant characteristics,IFEG / NCC performance requirements; executed models (not input files) with convergence and sensitivity,PBDB / FEB draft (S3); PS reports with results (S6),every departure has an analysis with results and acceptance criteria; consultation at S9,no performance solutions (all DtS),PS register; FER draft
FIRE-BRG-01,FIRE,Brigade,"Brigade access, booster location, hardstand and hydrant proximity",消防车道、水泵接合器位置、硬地与市政消火栓距离,S1,site plan; road access; brigade requirements,AS 2419.1 booster location rules; brigade access requirements,site fire access plan; booster position,brigade access and booster compliant; street hydrant within distance,—,A-100 site plan; F-100
FIRE-GAS-01,FIRE,Special hazards,Gaseous suppression or special hazard systems (if any),气体灭火或特殊危险系统（如有）,S6,protected rooms; hazards; volumes,AS ISO 14520 / relevant standard,agent quantity; room integrity; venting,room integrity and agent quantity closed,no special hazard systems,F-600
STR-LOAD-01,STR,Loads,Dead and superimposed dead loads incl. equipment weights schedule,恒载与附加恒载（含设备重量表）,S3,materials; build-ups; P-LOADS equipment schedule; façade weights,AS/NZS 1170.1 densities; equipment operating weights,load table per level and element; P-LOADS cross-check,every plant item and build-up in the load table,—,calc register; P-LOADS
STR-LOAD-02,STR,Loads,Imposed loads per occupancy and reductions,活荷载（按用途）与折减,S3,occupancy per area; storage; plant; vehicles,AS/NZS 1170.1 imposed loads (digest); reduction rules,imposed load table,every area has an imposed load with clause,—,S-500 load diagrams
STR-LOAD-03,STR,Loads,Wind loads on the structure and on cladding zones (local pressure factors),结构与围护风荷载（含局部压力系数）,S3,region; terrain; shielding; topography; building dimensions; importance level,AS/NZS 1170.2 (or AS 4055 for housing); Kl local factors for edges / corners,wind pressure tables for structure and cladding zones; input to FAC-WIND-01,pressures per zone tabulated with parameters; wind-tunnel need decided (FAC-WIND-02),—,S-500; Q-400
STR-LOAD-04,STR,Loads,"Earthquake actions: hazard, subsoil, importance level, ductility, base shear, drift",地震作用：危险性、场地类别、重要性等级、延性、基底剪力、层间位移,S3,site hazard factor; subsoil class; structure type; mass,AS 1170.4 or NZS 1170.5 (region); modal analysis from STR-ANL-01,seismic load table; drift check,base shear and drift documented; drift within limits,region with no seismic design requirement (state clause),S-500; calc register
STR-LOAD-05,STR,Loads,Snow and ice actions,雪荷载与冰荷载,S3,site altitude; roof geometry,AS/NZS 1170.3,snow load table,applied where required,site below snow threshold (state),S-500
STR-LOAD-06,STR,Loads,"Other actions: soil / hydrostatic, temperature, shrinkage, creep, construction, crane and lifting, service anchors",其他作用：土压 / 水压、温度、收缩、徐变、施工、吊装、设备固定支架,S3,geotech; water table; sequence; anchor loads from MECH-HYD-05 / HYD-MAT-01 / FAC-FIX-01,AS/NZS 1170.0 / 1170.1; geotech report; anchor reactions,other-actions table; anchor load register,every issued anchor / bracket load is in the structural load register,—,calc register
STR-LOAD-07,STR,Loads,Load combinations ULS / SLS,荷载组合（承载力 / 正常使用）,S3,all actions,AS/NZS 1170.0 combinations,combination table used by the model,combinations listed and applied in STR-ANL-01,—,modelling-assumptions sheet
STR-SYS-01,STR,System,"Gravity system, load path, transfer structures, robustness / disproportionate collapse",竖向体系、传力路径、转换结构、整体稳固性,S1,grid; spans; program; DfMA constraints,first-principles load path; NCC B1 / AS/NZS 1170.0 robustness,structural scheme memo (S1); load path diagram; transfer list,every load has a continuous path to foundations; transfers listed with NOT CALCULATED until analysed,—,structural scheme memo; S-100
STR-SYS-02,STR,System,"Lateral system: stability, cores / shear walls, torsion, drift limits, P-Δ",抗侧体系：稳定、核心筒 / 剪力墙、扭转、层间位移限值、P-Δ,S3,wind and seismic actions; core geometry; diaphragms,analysis model; drift limits per AS/NZS 1170 / serviceability; P-Δ,lateral analysis results; drift table,drift within limits; torsional irregularity assessed,single-storey braced shed (state),calc register; S-100
STR-ANL-01,STR,Analysis,"Global analysis model with modelling-assumptions sheet (stiffness modifiers, diaphragms, mass, supports)",整体分析模型与建模假定表（刚度折减、楼板、质量、支座）,S3,geometry from DB; sections; materials; loads; combinations,OpenSeesPy / PyNite from the DB; assumptions sheet; modal results,"analysis outputs: forces, displacements, periods; `.e2k` export; assumptions sheet",model checks pass; assumptions sheet complete; results traceable to calc IDs,—,modelling-assumptions sheet; .e2k
STR-ANL-02,STR,Analysis,Dual-solver comparison (.e2k in ETABS by the signing engineer),双求解器比对（.e2k 在 ETABS 中）,S9,same model; results from both,"compare reactions, periods, drifts, key member forces; ≤ 5 % agreement; 1–3 % expected",comparison table,within tolerance or differences explained by modelling choices,signing engineer uses OpenSees results directly,S9 package
STR-MEM-01,STR,Members,"Slabs (RC / PT): flexure, shear, punching shear, long-term deflection, crack control, vibration",楼板（RC / PT）：抗弯、抗剪、冲切、长期挠度、裂缝、振动,S6,spans; loads; concrete grade; PT layout,AS 3600 (NZS 3101); long-term deflection multipliers; punching at columns; footfall check where required,slab design summary per slab type; reinforcement / tendon schedule,every slab type checked; deflection ≤ limits; punching ≥ demand,—,S-100 / S-500
STR-MEM-02,STR,Members,"Beams and transfer beams: flexure, shear, torsion, deflection, detailing",梁与转换梁：抗弯、抗剪、抗扭、挠度、构造,S6,forces from STR-ANL-01; sections,AS 3600 / AS 4100 (NZS equivalents),member table B1…; utilisation; transfer beam special report,every beam has utilisation ≤ 1.0; transfers with full report,—,S-500 member schedule
STR-MEM-03,STR,Members,"Columns and walls: axial-moment interaction, slenderness, confinement, fire",柱与墙：轴力-弯矩相关、长细比、约束、耐火,S6,forces; sections; effective lengths,AS 3600 / AS 4100; interaction diagrams; fire per STR-FIRE-01,column / wall table; utilisation,every column and wall ≤ 1.0 at all levels,—,S-500
STR-MEM-04,STR,Members,"Core and shear walls: in-plane, boundary elements, coupling beams, openings",核心筒与剪力墙：面内、边缘构件、连梁、开洞,S6,lateral forces; wall geometry; openings from STR-PEN-01,AS 3600 wall provisions; coupling beam design,wall design summary; boundary element schedule,utilisation ≤ 1.0; openings reinforced,no shear walls,S-400 core sheets
STR-MEM-05,STR,Members,"Steel members and connections: capacity, stability, connection design, fatigue where relevant",钢构件与连接：承载力、稳定、连接设计、疲劳,S6,forces; sections; connection types,AS 4100 (NZS 3404); connection capacity tables,steel member table; connection schedule,every member and connection ≤ 1.0,no structural steel,S-500; S-400
STR-MEM-06,STR,Members,"Timber / CLT members, connections and fire char",木 / CLT 构件、连接与炭化耐火,S6,forces; grades; moisture; fire requirements,AS 1720 (NZS 3603); char rate method,member table; connection schedule; fire check,≤ 1.0 with fire reduction,no timber structure,S-500
STR-MEM-07,STR,Members,"Precast / modular (DfMA): lifting, handling, transport, connections, tolerances",预制 / 模块化（DfMA）：吊装、搬运、运输、连接、公差,S6,element list; crane data; connection types; transport limits,AS 3850 precast; dynamic factors; connection design; tolerance schedule,element schedule with lifting inserts; connection details; tolerance table,every element has lifting and connection design; transport envelope checked,no precast / modules,S-400; details library
STR-MEM-08,STR,Members,"Secondary elements: stairs, balustrade supports, BMU supports, façade bracket reactions, plant plinths",次要构件：楼梯、栏杆支座、BMU 支座、幕墙支座反力、设备基础,S6,loads from FAC / MECH / VT; geometry,AS/NZS 1170.1 loads; member design; anchor design AS 5216,secondary element table; anchor schedule,every issued reaction has a designed support,—,S-400; FAC-FIX-01
STR-FND-01,STR,Foundations,"Foundations from geotech: bearing, settlement, piles (capacity, group, negative skin friction), rafts",基础（依据岩土）：承载、沉降、桩（承载力、群桩、负摩阻）、筏板,S3,geotech report (people-commissioned); column loads; water table,geotech parameters; AS 2159 piling; raft analysis,foundation schedule; settlement estimate,capacity ≥ loads with geotech factors; settlement within limits; NOT CALCULATED until geotech received,—,S-300 foundation plan
STR-FND-02,STR,Foundations,"Retaining and basement walls, hydrostatic uplift / flotation, waterproofing pressures",挡土墙与地下室外墙、水浮力、防水压力,S6,soil parameters; water table; surcharges,AS 4678; uplift check with water table; drainage assumptions,wall design; uplift check,uplift factor ≥ required; wall utilisation ≤ 1.0,no basement / retaining,S-300
STR-FND-03,STR,Foundations,Slab on ground and pavements (housing / light structures),地坪板与路面（住宅 / 轻型结构）,S6,site class; loads; subgrade,AS 2870 / AS 3727,slab design,per standard,not applicable to suspended-slab building,S-300
STR-DUR-01,STR,Durability,"Durability: exposure class, cover, concrete grade, crack width, corrosion protection",耐久性：暴露等级、保护层、混凝土等级、裂缝宽度、防腐,S6,"location (coastal, chloride); element types",AS 3600 exposure classes and cover; AS/NZS 2312 steel protection,durability schedule per element,"every element has exposure class, cover and grade",—,S-500 general notes
STR-FIRE-01,STR,Fire,Fire resistance of structural members (FRL per compartment),结构构件耐火（按分区 FRL）,S6,FRLs from FIRE-STR-01; sections; cover,AS 3600 Section 5 / AS 4100 Section 12 / AS 1720.4,FRL check per element type,every element meets its FRL,—,S-500; FIRE-STR-01
STR-PEN-01,STR,Penetrations,Penetration schedule and reinforcement around openings; PT no-drill zones; beam depth vs duct routes,开洞清单与洞口加强；PT 禁钻区；梁高与风管走向,S6,services routes (db/services-routes.json); PT layout; beam schedule,opening reinforcement rules; PT tendon clearances; coordination with services-coordination-2d,penetration schedule; no-drill zone plan; reinforcement details,every penetration on the schedule with reinforcement or approval; no penetration in a no-drill zone,—,S-100 penetration plans; C-100
STR-TMP-01,STR,Temporary works,"Temporary works: propping / back-propping, formwork, crane bases and ties, hoists, edge protection",临时工程：支撑 / 回撑、模板、塔吊基础与附着、施工电梯、临边防护,S6,construction sequence; crane data; formwork system,AS 3610 formwork; crane supplier loads; back-propping analysis,temporary works register with designer / signer per item,"every item has a designer and a sign-off route; drafted S6, finalised S10",—,construction planning sheets
STR-CON-01,STR,Construction,"Construction sequence / staged analysis: transfer, PT stages, differential axial shortening",施工顺序 / 分阶段分析：转换、预应力分阶段、竖向差异压缩,S6,sequence; PT stages; column / wall stress,staged analysis; shortening estimate with creep / shrinkage,stage results; shortening table; pre-set values,stages checked; shortening within tolerance for façade / services (FAC-MOV-01),low-rise without transfers,calc register
STR-SET-01,STR,Serviceability,"Serviceability: deflection limits, footfall vibration, movement joints",正常使用：挠度限值、脚步振动、变形缝,S6,spans; use; joint layout,AS/NZS 1170.0 Appendix C limits; footfall (SCI / CCIP methods) where required,serviceability table; joint schedule,every span within limits; sensitive floors checked,—,calc register; A-100 joint plan
STR-CLAD-01,STR,Interfaces,"Reactions and movements issued to façade and roof (deflection, drift, creep, tolerances)",向幕墙与屋面提供的反力与变形（挠度、层间位移、徐变、公差）,S6,analysis results; slab edge details,"summary of edge deflections, drifts, shortening and tolerances per level",structure-to-façade interface table,table issued and referenced by FAC-MOV-01 / FAC-FIX-01,—,interface table
FAC-WIND-01,FAC,Wind,"Design wind pressures on cladding per zone (local pressure factors, internal pressure)",围护结构各区设计风压（局部压力系数、内压）,S3,STR-LOAD-03 parameters; building geometry; opening scenarios,AS/NZS 1170.2 cladding pressures with Kl; AS 4055 for housing,cladding pressure map per elevation and roof zone,every elevation and roof zone has a pressure; corners and edges identified,—,Q-400; FAC calc book
FAC-WIND-02,FAC,Wind,Wind-tunnel / cladding pressure study decision for tall or complex buildings,风洞 / 围护风压试验决策,S1,height; shape; surroundings,AS/NZS 1170.2 applicability limits; decision record,decision with basis,decision recorded; if study needed it is a people task at S3,building within code method limits,decision record
FAC-GLZ-01,FAC,Glazing,"Glass thickness and type: wind, human impact, deflection, edge and support conditions",玻璃厚度与类型：风压、人体冲击、挠度、边部与支承,S3,pressures; pane sizes; support type; safety locations,AS 1288 design charts / calc; laminated / toughened selection,glass schedule per type; utilisation,every pane type checked for wind and impact; deflection within limit,—,Q-500 glass schedule
FAC-GLZ-02,FAC,Glazing,Glazing thermal / solar performance and thermal-stress breakage risk,玻璃热工 / 遮阳性能与热应力破裂风险,S3,U / SHGC / VLT targets from THM-FAC-01; shading; tinted glass,manufacturer data; thermal stress check for tinted / coated glass with partial shading,glazing performance schedule; thermal stress check,values match the thermal model; stress risk assessed,—,Q-500; THM-FAC-01
FAC-FRM-01,FAC,Framing,"Curtain wall / window framing: mullion and transom spans, deflection limits, sections, thermal breaks",幕墙 / 窗框：竖梃与横梁跨度、挠度限值、截面、断热,S6,pressures; spans; glass weights; deflection limits (L/175 etc.),AS/NZS 1170.2 loads; aluminium AS/NZS 1664; deflection limits per AS 1288 / manufacturer,framing schedule; utilisation; section properties,every span within deflection and stress limits,no curtain wall / framed façade,Q-400; FAC calc book
FAC-FIX-01,FAC,Fixings,"Brackets and anchors: reactions, post-installed anchors, slab-edge conditions, tolerances, thermal movement",支座与锚固：反力、后置锚栓、板边条件、公差、热胀,S6,framing reactions; slab edge details; concrete grade; edge distances,AS 5216 anchors in concrete; bracket capacity; tolerance ±; STR-CLAD-01 movements,bracket and anchor schedule; reactions to STR-MEM-08,every bracket has a capacity ≥ reaction with tolerance; anchors within edge distance rules,—,Q-400 details; S-400
FAC-FIX-02,FAC,Fixings,"Cladding fixing capacity and fixing spacing: screw / rivet pull-out and pull-over, tributary area × pressure per zone",围护板固定件承载力与固定间距：螺钉 / 铆钉抗拔与抗拉穿，按分区风压 × 受荷面积,S6,cladding pressures per zone (FAC-WIND-01); fastener tested capacities; substrate; sheet thickness,fastener capacity (manufacturer test data / AS/NZS 4600) with capacity factors; spacing = capacity ÷ (pressure × tributary width); edge / corner zones tighter,"fixing schedule per zone: fastener, spacing, edge distance; setting-out",spacing per zone computed and drawn; corner and edge zones separately; no generic 'per manufacturer' without numbers,no fixed cladding (state),Q-400; Q-500 fixing schedule
FAC-FIX-03,FAC,Fixings,"Metal wall cladding / façade panels: span tables, support spacing, thermal movement, panel flatness, sub-frame",金属外墙板 / 幕墙板：跨度表、支承间距、热胀、平整度、副框,S6,panel type; spans; pressures; temperature range,manufacturer tested span tables at the zone pressure; thermal movement per panel length; sub-frame design,panel schedule; sub-frame schedule; movement joints,spans within tested tables; joints accommodate movement,no metal cladding,Q-400
FAC-MOV-01,FAC,Movement,"Inter-storey drift, slab deflection, creep shortening and thermal movement accommodation; joint sizing",层间位移、板挠度、徐变压缩与热胀的吸收；缝宽,S6,STR-CLAD-01 table; façade system; joint types,movement stack-up per joint; joint size = movement × sealant factor,movement schedule per joint type,every joint sized for combined movement,—,Q-400 details
FAC-WPF-01,FAC,Weatherproofing,"Weatherproofing strategy: pressure equalisation, drainage, flashings, sealant joint sizing, test plan (AS 4284)",防水策略：压力平衡、排水、泛水、密封缝尺寸、测试方案（AS 4284）,S6,system; exposure; joint layout,AS 4284 test criteria; sealant movement capability; drainage paths drawn,weatherproofing report; joint schedule; test plan,every joint has a designed path for water; test plan defined,—,Q-400; spec
FAC-FIRE-01,FAC,Fire,"Combustibility and fire performance of cladding, insulation and attachments; spandrels, cavity barriers, edge seals",围护材料可燃性与防火性能；层间防火、空腔隔断、边缘封堵,S1,cladding types; type of construction; insulation; attachments,"NCC Section C (non-combustible requirements, AS 1530.1 / AS 1530.3, AS 5113 where relevant); spandrel / cavity barrier rules",combustibility route (S1); fire performance schedule (S6),every external wall component has an evidence path (test report or non-combustible),—,Q-500; compliance-matrix.csv
FAC-ACU-01,FAC,Acoustics,Façade acoustic rating vs external noise (with ACU-EXT-01),幕墙隔声等级与外部噪声,S3,external levels; internal criteria; glazing options,Rw + Ctr required per elevation; glazing / frame data,façade acoustic schedule,every elevation meets internal criteria,—,Q-500; ACU calc book
